city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
Nottingham,2009-06-08,T20,"{by={wickets=6}, winner=Sri Lanka}",20,[KC Sangakkara],Trent Bridge,Sri Lanka,Australia, Sri Lanka,field
Nottingham,2009-06-10,T20,"{by={runs=15}, winner=Sri Lanka}",20,[ST Jayasuriya],Trent Bridge,Sri Lanka, West Indies, West Indies,field
London,2009-06-12,T20,"{by={runs=19}, winner=Sri Lanka}",20,[TM Dilshan],Lord's,Sri Lanka,Pakistan, Sri Lanka,bat
London,2009-06-14,T20,"{by={runs=9}, winner=Sri Lanka}",20,[DPMD Jayawardene],Lord's,Sri Lanka,Ireland, Sri Lanka,bat
Nottingham,2009-06-16,T20,"{by={runs=48}, winner=Sri Lanka}",20,[BAW Mendis],Trent Bridge,Sri Lanka,New Zealand, Sri Lanka,bat
London,2009-06-19,T20,"{by={runs=57}, winner=Sri Lanka}",20,[TM Dilshan],Kennington Oval,Sri Lanka, West Indies, West Indies,field
London,2009-06-21,T20,"{by={wickets=8}, winner=Pakistan}",20,[Shahid Afridi],Lord's,Pakistan,Pakistan, Sri Lanka,bat
King City,2008-10-11,T20,"{by={wickets=3}, winner=Pakistan}",20,[Shoaib Malik],Maple Leaf North-West Ground,Pakistan,Pakistan, Pakistan,field
King City,2008-10-13,T20,"{by={wickets=5}, winner=Sri Lanka}",20,[ST Jayasuriya],Maple Leaf North-West Ground,Sri Lanka,Pakistan, Sri Lanka,field
Colombo,2008-08-27,ODI,"{by={runs=46}, winner=India}",50,[SK Raina],R Premadasa Stadium,India, India, India,bat
,2008-11-20,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[M Muralitharan],Harare Sports Club,Sri Lanka,Zimbabwe, Sri Lanka,field
,2008-11-22,ODI,"{by={wickets=9}, winner=Sri Lanka}",50,[BAW Mendis],Harare Sports Club,Sri Lanka,Zimbabwe, Zimbabwe,bat
